Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2004:Q1,TopPt1,5075829,5134288,584878,247729,1644043,27440,43478,1144021,1442699,58458,35061,6518,16879
2004:Q1,RemainingTop1,8466484,8981337,1946839,298841,2413114,183550,339917,1822322,1976754,514853,343696,28465,142692
2004:Q1,Next9,18193540,19744096,4995860,779774,3159195,4032881,1667181,1661062,3448143,1550556,1250643,174393,125520
2004:Q1,Next40,17604763,22137513,8562938,1590488,1561238,4180391,1780214,1219253,3242991,4532750,3641289,813361,78100
2004:Q1,Bottom50,1338916,4274454,2353267,820926,93593,209244,217997,82027,497400,2935539,1819011,1073735,42793
2004:Q2,TopPt1,5117867,5180422,600562,245683,1648750,30233,43777,1232085,1379332,62555,37338,6986,18231
2004:Q2,RemainingTop1,8559084,9090670,2019788,293913,2389178,190408,341257,1899822,1956304,531586,356026,29338,146222
2004:Q2,Next9,18439316,20053411,5117949,810458,3103259,4128537,1694912,1747590,3450707,1614095,1305808,176257,132030
2004:Q2,Next40,17854691,22536401,8855379,1615520,1526472,4239288,1803498,1258118,3238126,4681710,3779672,820298,81740
2004:Q2,Bottom50,1373003,4380635,2454541,829538,88101,209459,218142,85002,495853,3007632,1881396,1081659,44577
2004:Q3,TopPt1,5326062,5388726,624313,264915,1680510,33063,43244,1337074,1405607,62664,39187,7471,16006
2004:Q3,RemainingTop1,8787484,9330619,2119800,283147,2401201,197434,339556,1985151,2004330,543135,367711,30162,145262
2004:Q3,Next9,18899175,20544468,5337778,816496,3086639,4227142,1713202,1851348,3511863,1645293,1339874,180537,124882
2004:Q3,Next40,18167701,22996980,9176926,1629073,1505000,4300685,1810154,1298685,3276457,4829279,3915697,840718,72864
2004:Q3,Bottom50,1351756,4442618,2514258,834206,83469,209673,215967,88369,496676,3090862,1942935,1105988,41939
2004:Q4,TopPt1,5660042,5724580,633900,255366,1863437,42831,50250,1396843,1481952,64537,39634,7390,17513
2004:Q4,RemainingTop1,9143690,9677345,2173042,294009,2609917,219548,375048,1993919,2011862,533655,370127,31056,132472
2004:Q4,Next9,19754806,21503840,5566289,835054,3349320,4310890,1832987,1958550,3650750,1749034,1415304,185610,148120
2004:Q4,Next40,18711082,23642550,9447428,1653753,1579669,4365467,1935619,1293357,3367257,4931468,3980084,861900,89484
2004:Q4,Bottom50,1426824,4666084,2658912,859989,90685,213609,233503,96141,513245,3239260,2054000,1134164,51096
2005:Q1,TopPt1,5728439,5790162,644673,253535,1883023,52423,51469,1458654,1446385,61723,38837,6674,16212
2005:Q1,RemainingTop1,9230025,9758561,2227678,302402,2598600,239955,388788,2003992,1997146,528536,371693,32743,124100
2005:Q1,Next9,20174764,21936218,5807935,843586,3368906,4356711,1830787,2068101,3660192,1761453,1431542,184628,145283
2005:Q1,Next40,18956056,23948793,9694610,1672337,1571249,4393477,1919248,1288463,3409410,4992737,4057630,849075,86032
2005:Q1,Bottom50,1463461,4837437,2779377,883225,91955,217082,234650,103962,527185,3373976,2189317,1131855,52804
2005:Q2,TopPt1,5972402,6036113,658242,263117,1966428,62146,55243,1540055,1490883,63712,39213,6403,18096
2005:Q2,RemainingTop1,9445845,9977084,2290074,309426,2671116,260957,412239,2023380,2009891,531239,374662,33859,122718
2005:Q2,Next9,20786802,22629482,6082709,842596,3482162,4410805,1884312,2198020,3728878,1842680,1508110,187354,147216
2005:Q2,Next40,19294334,24375510,9934012,1692564,1592861,4429288,1965827,1285690,3475268,5081177,4136060,857286,87831
2005:Q2,Bottom50,1467994,4994638,2873628,910589,95549,220651,242988,112258,538975,3526644,2321653,1147488,57503
2005:Q3,TopPt1,6181392,6246132,669243,251960,2105595,71925,60135,1653225,1434049,64739,39610,6193,18936
2005:Q3,RemainingTop1,9710494,10240109,2350754,318036,2815448,282026,439690,2057615,1976539,529615,377639,34900,117076
2005:Q3,Next9,21431429,23361030,6329163,855876,3675666,4462711,1948722,2360965,3727927,1929601,1587534,191536,150531
2005:Q3,Next40,19686976,24866298,10234105,1704564,1638556,4462805,2032922,1286180,3507167,5179323,4215663,873604,90056
2005:Q3,Bottom50,1516230,5207868,3024577,927473,101139,224185,254298,121338,554858,3691638,2457545,1172154,61939
2005:Q4,TopPt1,6366143,6431985,678530,240853,2162645,81769,64493,1738560,1465134,65842,39846,6013,19983
2005:Q4,RemainingTop1,9905589,10439203,2403363,327450,2850535,303292,465287,2079311,2009966,533614,379413,35898,118303
2005:Q4,Next9,22009457,24005113,6553997,870692,3748923,4515195,2007896,2495663,3812747,1995656,1660372,195465,139819
2005:Q4,Next40,20083554,25334915,10502271,1720005,1644864,4496695,2089561,1284019,3597500,5251361,4280345,888583,82433
